n,t,Ref,Erro,U,Y
1,0.002986,1,1,1.32326,0.182066
2,0.005972,1,0.817934,0.844019,0.537526
3,0.008958,1,0.462474,0.699909,0.842616
4,0.011944,1,0.157384,0.743371,1.02235
5,0.01493,1,-0.022351,0.849265,1.08879
6,0.017916,1,-0.0887897,0.944596,1.08574
7,0.020902,1,-0.0857427,1.00289,1.05509
8,0.023888,1,-0.0550929,1.02594,1.02357
9,0.026874,1,-0.0235701,1.02654,1.00249
10,0.02986,1,-0.00249384,1.0177,0.99295
11,0.032846,1,0.00705037,1.00798,0.991432
12,0.035832,1,0.00856828,1.00124,0.993743
13,0.038818,1,0.00625677,0.998036,0.996841
14,0.041804,1,0.00315889,0.997388,0.999201
15,0.04479,1,0.000798795,0.998016,1.00045
16,0.047776,1,-0.000448057,0.998955,1.00081
17,0.050762,1,-0.000808508,0.999701,1.00068
18,0.053748,1,-0.000679947,1.00011,1.00039
19,0.056734,1,-0.000393851,1.00024,1.00014
20,0.05972,1,-0.000140882,1.00021,0.999988
21,0.062706,1,1.17072e-005,1.00013,0.999929
22,0.065692,1,7.06031e-005,1.00005,0.999929
23,0.068678,1,7.0681e-005,1,0.999954
24,0.071664,1,4.64828e-005,0.999979,0.999979
25,0.07465,1,2.05716e-005,0.999978,0.999997
26,0.077636,1,2.83672e-006,0.999985,1.00001
27,0.080622,1,-5.44742e-006,0.999993,1.00001
28,0.083608,1,-6.99535e-006,0.999999,1.00001
29,0.086594,1,-5.23544e-006,1,1
30,0.08958,1,-2.71509e-006,1,1
